uid,loneliness_pos_pre,loneliness_neg_pre,loneliness_pos_post,loneliness_neg_post,loneliness_pos_delta,loneliness_neg_delta,loneliness_delta
u00,33,-18,33,-20,0,-2,-2
u01,37,-17,37,-22,0,-5,-5
u02,37,-16,38,-13,1,3,4
u03,28,-25,23,-22,-5,3,-2
u04,24,-27,28,-28,4,-1,3
u07,32,-21,34,-24,2,-3,-1
u09,36,-23,34,-20,-2,3,1
u10,19,-34,17,-30,-2,4,2
u14,35,-11,38,-13,3,-2,1
u15,38,-13,39,-12,1,1,2
u16,37,-19,36,-24,-1,-5,-6
u17,29,-31,31,-33,2,-2,0
u18,26,-32,18,-33,-8,-1,-9
u19,25,-31,24,-28,-1,3,2
u20,40,-20,36,-24,-4,-4,-8
u23,31,-27,27,-28,-4,-1,-5
u24,30,-31,27,-32,-3,-1,-4
u27,31,-27,27,-26,-4,1,-3
u30,40,-13,40,-13,0,0,0
u31,29,-20,27,-17,-2,3,1
u32,40,-15,40,-18,0,-3,-3
u33,22,-37,28,-38,6,-1,5
u34,39,-24,37,-21,-2,3,1
u35,32,-18,30,-19,-2,-1,-3
u36,36,-17,35,-17,-1,0,-1
u42,38,-13,37,-19,-1,-6,-7
u43,32,-23,35,-25,3,-2,1
u44,39,-13,30,-23,-9,-10,-19
u45,29,-25,29,-23,0,2,2
u47,39,-11,40,-13,1,-2,-1
u49,37,-18,38,-14,1,4,5
u51,30,-20,32,-17,2,3,5
u52,23,-36,35,-14,12,22,34
u53,36,-17,37,-19,1,-2,-1
u56,30,-18,31,-18,1,0,1
u58,25,-23,26,-19,1,4,5
u59,35,-19,36,-15,1,4,5
